PROPERTY_TYPE	PROPERTY_VALUE	SEMANTIC_TAG	STUDY	BIOENTITY	ANNOTATOR	ANNOTATION_DATE
cell line	HCC-1428	http://purl.org/ejp-rd/vocabulary/Ireland	E-GEOD-19639	GSM490064 1	Eleanor Williams	01/10/2014 18:33
cell line	HepG3	http://purl.org/ejp-rd/vocabulary/Latvia	E-GEOD-19815	GSM494822 1	Eleanor Williams	01/10/2014 18:33
cell line	HMEpC cell	http://purl.org/ejp-rd/vocabulary/Lithuania	E-GEOD-2638	GSM50774	Eleanor Williams	01/10/2014 18:33
cell line	HUVEC cell line	http://purl.org/ejp-rd/vocabulary/Norway	E-GEOD-2639	GSM50777	Eleanor Williams	01/10/2014 18:33
cell line	MDA-361	http://purl.org/ejp-rd/vocabulary/Sweden	E-GEOD-19639	GSM490058 1	Eleanor Williams	01/10/2014 18:33
cell line	Ect1	http://purl.org/ejp-rd/vocabulary/United_Kingdom	E-GEOD-35830	GSM875821 1	Eleanor Williams	01/10/2014 18:34
cell line	TOV-112D	http://purl.org/ejp-rd/vocabulary/Bosnia_Herzegovina	E-GEOD-35972	GSM878203 1	Eleanor Williams	01/10/2014 18:34
cell line	2102Ep	http://purl.org/ejp-rd/vocabulary/Holy_See	E-GEOD-59234	GSM1431070 1	Eleanor Williams	01/10/2014 18:35
cell line	HCT116	http://purl.org/ejp-rd/vocabulary/Albania	E-GEOD-53965	GSM1304429 1	Eleanor Williams	01/10/2014 18:35
cell line	HCT116	http://purl.org/ejp-rd/vocabulary/Andora	E-GEOD-56788	GSM1369096 1	Eleanor Williams	01/10/2014 18:35
cell line	MDA-MB-231	http://purl.org/ejp-rd/vocabulary/Croatia	E-GEOD-5823	GSE5823GSM136091	Eleanor Williams	01/10/2014 18:35
cell line	MEL cell line	http://purl.org/ejp-rd/vocabulary/Italy	E-GEOD-54549	GSM1318680 1	Eleanor Williams	01/10/2014 18:35
cell line	NT2/D1	http://purl.org/ejp-rd/vocabulary/Malta	E-GEOD-56102	GSM1355193 1	Eleanor Williams	01/10/2014 18:35
cell line	GM12878	http://purl.org/ejp-rd/vocabulary/Montenegro	E-GEOD-26284	GSM840138 1	Eleanor Williams	01/10/2014 18:36
cell line	H1-hESC	http://purl.org/ejp-rd/vocabulary/North_Macedonia	E-GEOD-26284	GSM758566 1	Eleanor Williams	01/10/2014 18:36
cell line	HCT116	http://purl.org/ejp-rd/vocabulary/Portugal	E-MEXP-1509	shmSin3 a b -2	Eleanor Williams	01/10/2014 18:36
cell line	HeLa-S3	http://purl.org/ejp-rd/vocabulary/San_Marino	E-GEOD-26284	GSM765404 1	Eleanor Williams	01/10/2014 18:36
cell line	HUES-1	http://purl.org/ejp-rd/vocabulary/Serbia	E-MEXP-3577	Un_Treated_1	Eleanor Williams	01/10/2014 18:36
cell line	Human Mammary Epithelial Cell	http://purl.org/ejp-rd/vocabulary/Slovenia	E-GEOD-9649	GSE9649GSM243759	Eleanor Williams	01/10/2014 18:36
cell line	HUVEC cell line	http://purl.org/ejp-rd/vocabulary/Serbia	E-GEOD-26284	GSM758569 1	Eleanor Williams	01/10/2014 18:36
cell line	SK-N-SH_RA	http://purl.org/ejp-rd/vocabulary/Spain	E-GEOD-26284	GSM767845 1	Eleanor Williams	01/10/2014 18:36
cell line	CFT-2	http://purl.org/ejp-rd/vocabulary/Portugal	E-MEXP-980	CFT-2_2	Eleanor Williams	01/10/2014 18:37
cell line	NT-1	http://purl.org/ejp-rd/vocabulary/Austria	E-MEXP-980	NT-1_2	Eleanor Williams	01/10/2014 18:37
cell line	SN56.B5.G4	http://purl.org/ejp-rd/vocabulary/Belgium	E-MEXP-710	H2O2-3	Eleanor Williams	01/10/2014 18:37
cell type	CD14 positive monocyte	http://purl.org/ejp-rd/vocabulary/Finland	E-GEOD-12773	GSE12773GSM320545	Eleanor Williams	01/10/2014 18:32
cell type	embryonic kidney cell	http://purl.org/ejp-rd/vocabulary/France	E-GEOD-1676	GSE1676GSM28644	Eleanor Williams	01/10/2014 18:32
cell type	erythroid progenitor	http://purl.org/ejp-rd/vocabulary/Germany	E-GEOD-13284	GSE13284GSM335327	Eleanor Williams	01/10/2014 18:32
cell type	mouse embryonic fibroblast	http://purl.org/ejp-rd/vocabulary/Liechtenstein	E-GEOD-15325	GSM449576 1	Eleanor Williams	01/10/2014 18:32
cell type	polymorphonuclear leukocyte	http://purl.org/ejp-rd/vocabulary/Luxenmbourg	E-GEOD-16837	GSM422148 1	Eleanor Williams	01/10/2014 18:32
cell type	primary fibroblast	http://purl.org/ejp-rd/vocabulary/Monaco	E-GEOD-11919	GSE11919GSM301265	Eleanor Williams	01/10/2014 18:32
cell type	primary hepatocyte	http://purl.org/ejp-rd/vocabulary/Netherlands	E-GEOD-11941	GSE11941GSM301601	Eleanor Williams	01/10/2014 18:32
cell type	theca cell	http://purl.org/ejp-rd/vocabulary/Switzerland	E-GEOD-1615	GSE1615GSM29651	Eleanor Williams	01/10/2014 18:32
cell type	breast tumor epithelial cells	http://purl.org/ejp-rd/vocabulary/organisation	E-GEOD-17636	GSM440192 1	Eleanor Williams	01/10/2014 18:33
cell type	chronic lymphocytic leukemia cell	http://purl.org/ejp-rd/vocabulary/patient	E-GEOD-20211	GSM506925 1	Eleanor Williams	01/10/2014 18:33
cell type	immortalized embryonic fibroblast	http://www.orpha.net/ORDO/Orphanet_165711	E-GEOD-19732	GSM492781 1	Eleanor Williams	01/10/2014 18:33
cell type	suspension culture	http://www.orpha.net/ORDO/Orphanet_98050	E-GEOD-17824	GSE17824GSM444750	Eleanor Williams	01/10/2014 18:33
cell type	T cells	http://www.orpha.net/ORDO/Orphanet_423662	E-GEOD-22313	GSM555385 1	Eleanor Williams	01/10/2014 18:33
cell type	CD34 positive	http://www.orpha.net/ORDO/Orphanet_93419	E-GEOD-38692	GSM947599 1	Eleanor Williams	01/10/2014 18:34
cell type	CD4+ T cells	http://www.orpha.net/ORDO/Orphanet_97929	E-GEOD-44392	GSM1084262 1	Eleanor Williams	01/10/2014 18:34
cell type	CD4+CD25+ regulatory T-cell	http://www.orpha.net/ORDO/Orphanet_98028	E-GEOD-36095	GSM881029 1	Eleanor Williams	01/10/2014 18:34
cell type	hepatoma	http://www.orpha.net/ORDO/Orphanet_93890	E-GEOD-39812	GSM979669 1	Eleanor Williams	01/10/2014 18:34
cell type	long-term hematopoietic stem cell	http://www.orpha.net/ORDO/Orphanet_97978	E-GEOD-4332	GSE4332GSM98883	Eleanor Williams	01/10/2014 18:34
cell type	primary hepatocyte	http://www.orpha.net/ORDO/Orphanet_97966	E-GEOD-31193	GSM773324 1	Eleanor Williams	01/10/2014 18:34
cell type	B lymphocytes	http://www.orpha.net/ORDO/Orphanet_98053	E-GEOD-6691	GSM154406 1	Eleanor Williams	01/10/2014 18:35
cell type	bronchial epithelial cell	http://www.orpha.net/ORDO/Orphanet_96344	E-GEOD-6802	GSE6802GSM157039	Eleanor Williams	01/10/2014 18:35
cell type	CD4+ T cell	http://www.orpha.net/ORDO/Orphanet_97992	E-GEOD-6740	GSE6740GSM155182	Eleanor Williams	01/10/2014 18:35
cell type	CD8+ T cell	http://www.orpha.net/ORDO/Orphanet_57146	E-GEOD-6740	GSE6740GSM155232	Eleanor Williams	01/10/2014 18:35
cell type	embryonal carcinoma	http://www.orpha.net/ORDO/Orphanet_98004	E-GEOD-59234	GSM1431077 1	Eleanor Williams	01/10/2014 18:35
cell type	myeloid lineage restricted progenitor cell	http://www.orpha.net/ORDO/Orphanet_68416	E-GEOD-6623	GSE6623GSM153717	Eleanor Williams	01/10/2014 18:35
cell type	plasma cells	http://www.orpha.net/ORDO/Orphanet_98047	E-GEOD-6691	GSM154437 1	Eleanor Williams	01/10/2014 18:35
cell type	sperm	http://www.orpha.net/ORDO/Orphanet_87277	E-GEOD-6872	GSE6969GSM158469	Eleanor Williams	01/10/2014 18:35
cell type	T-cell acute lymphoblastic leukemia cell	http://www.orpha.net/ORDO/Orphanet_108999	E-GEOD-6495	GSE6495GSM149398	Eleanor Williams	01/10/2014 18:35
cell type	human mammary epithelial cell (HMEC)	http://www.orpha.net/ORDO/Orphanet_68329	E-GEOD-26284	GSM758571 1	Eleanor Williams	01/10/2014 18:36
cell type	human mesenchymal stem cell from adipose tissue (hMSC-AT)	http://www.orpha.net/ORDO/Orphanet_250908	E-GEOD-26284	GSM981260 1	Eleanor Williams	01/10/2014 18:36
cell type	human pericytes from placenta (hPC-PL)	http://www.orpha.net/ORDO/Orphanet_182070	E-GEOD-26284	GSM981255 1	Eleanor Williams	01/10/2014 18:36
cell type	normal human epidermal keratinocyte (NHEK)	http://www.orpha.net/ORDO/Orphanet_98006	E-GEOD-26284	GSM765399 1	Eleanor Williams	01/10/2014 18:36
cell type	dermal fibroblast	http://www.orpha.net/ORDO/Orphanet_98026	E-MEXP-700	ET1_fibro2E	Eleanor Williams	01/10/2014 18:37
cell type	lymphocyte of B lineage	http://www.orpha.net/ORDO/Orphanet_98036	E-MTAB-2754	WT-1	Eleanor Williams	01/10/2014 18:37
cell type	mouse embryonic fibroblast cell	http://www.orpha.net/ORDO/Orphanet_168778	E-MTAB-2790	Mef_wt_1	Eleanor Williams	01/10/2014 18:37
cell type	pre-B cells	http://www.orpha.net/ORDO/Orphanet_93626	E-MTAB-2354	mouse 4 Zbp1-/-	Eleanor Williams	01/10/2014 18:37
cell type	primary embryonic fibroblasts	http://www.orpha.net/ORDO/Orphanet_97955	E-MEXP-793	BMI1-c1	Eleanor Williams	01/10/2014 18:37
cell type	CD8-positive T-Lymphocyte	http://www.orpha.net/ORDO/Orphanet_182231	E-MTAB-2960	untreated_1	Eleanor Williams	01/10/2014 18:38
cell type	T regulatory cell	http://www.orpha.net/ORDO/Orphanet_89826	E-MTAB-2951	Sample 6	Eleanor Williams	01/10/2014 18:38
cell type	T-helper 1 cell	http://www.orpha.net/ORDO/Orphanet_97962	E-TABM-232	Th1_wt5	Eleanor Williams	01/10/2014 18:38
cell type	T-helper 2 cell	http://www.orpha.net/ORDO/Orphanet_182222	E-TABM-232	Th2_wt3	Eleanor Williams	01/10/2014 18:38
cell type	primary macrophage	http://www.orpha.net/ORDO/Orphanet_52662	E-TABM-734	Macrophage culture 31	Eleanor Williams	01/10/2014 18:39
cellular component	cytosol	http://www.orpha.net/ORDO/Orphanet_101433	E-GEOD-26284	GSM767849 1	Eleanor Williams	01/10/2014 18:36
cellular component	nucleolus	http://www.orpha.net/ORDO/Orphanet_1192	E-GEOD-26284	GSM765393 1	Eleanor Williams	01/10/2014 18:36
cellular component	nucleus	http://www.orpha.net/ORDO/Orphanet_79134	E-GEOD-26284	GSM765399 1	Eleanor Williams	01/10/2014 18:36
clinical history	abdominal pain	http://www.orpha.net/ORDO/Orphanet_1934	E-GEOD-10927	GSE10927GSM277112	Eleanor Williams	01/10/2014 18:32
clinical history	Cushing syndrome	http://www.orpha.net/ORDO/Orphanet_36387	E-GEOD-10927	GSE10927GSM277101	Eleanor Williams	01/10/2014 18:32
clinical history	parous	http://www.orpha.net/ORDO/Orphanet_3173	E-TABM-197	P2	Eleanor Williams	01/10/2014 18:38
clinical history	parous	http://www.orpha.net/ORDO/Orphanet_2574	E-TABM-198	G1P1_4wk_reg_RG_U34A_3	Eleanor Williams	01/10/2014 18:38
clinical history	parous	http://www.orpha.net/ORDO/Orphanet_1647	E-TABM-199	Inv_d28_G1P1_MG_U74Av2_1	Eleanor Williams	01/10/2014 18:38
clinical history	virgin	http://www.orpha.net/ORDO/Orphanet_2836	E-TABM-199	15wk_G0P0_MG_U74Av2_2	Eleanor Williams	01/10/2014 18:38
clinical history	virgin	http://www.orpha.net/ORDO/Orphanet_567	E-TABM-197	Fischer2	Eleanor Williams	01/10/2014 18:38
clinical history	virgin	http://www.orpha.net/ORDO/Orphanet_91385	E-TABM-198	G0P0_4wk_reg_RG_U34A_1	Eleanor Williams	01/10/2014 18:38
clinical treatment	control	http://www.orpha.net/ORDO/Orphanet_69088	E-GEOD-7041	Dahl Salt Sensitive Rat Lung- Control_A81	Eleanor Williams	01/10/2014 18:35
compound	"1,25-dihydroxyvitamin D3"	http://www.orpha.net/ORDO/Orphanet_100	E-GEOD-15947	"RWPE1 cells, 100 nM of 1,25(OH)2D, 24h, biological rep3"	Eleanor Williams	01/10/2014 18:32
compound	12-oxo-phytodienoic acid	http://www.orpha.net/ORDO/Orphanet_391487	E-GEOD-10732	"Arabidopsis plant (tga2-5-6), 4h_response to OPDA_rep3"	Eleanor Williams	01/10/2014 18:32
compound	ascorbic acid	http://www.orpha.net/ORDO/Orphanet_3261	E-GEOD-11919	GM5659_AA_rep3	Eleanor Williams	01/10/2014 18:32
compound	auxin	http://www.orpha.net/ORDO/Orphanet_436159	E-GEOD-12964	GSM325126	Eleanor Williams	01/10/2014 18:32
compound	camptothecin	http://www.orpha.net/ORDO/Orphanet_275517	E-GEOD-1417	Camptothecin Treated HeLa Replicate 1 U133A	Eleanor Williams	01/10/2014 18:32
compound	dexamethasone	http://www.orpha.net/ORDO/Orphanet_3453	E-GEOD-10019	RGA-GR-DEX-REP3	Eleanor Williams	01/10/2014 18:32
compound	dimethylformamide	http://www.orpha.net/ORDO/Orphanet_33110	E-GEOD-11758	DMF_rep3	Eleanor Williams	01/10/2014 18:32
compound	DMSO	http://www.orpha.net/ORDO/Orphanet_2314	E-GEOD-13487	A375sh2BRaf_DMSO_1	Eleanor Williams	01/10/2014 18:32
compound	DMSO	http://www.orpha.net/ORDO/Orphanet_319543	E-GEOD-15799	GSM396550	Eleanor Williams	01/10/2014 18:32
compound	doxycycline	http://www.orpha.net/ORDO/Orphanet_319581	E-GEOD-13487	A375shGFP_Dox_2	Eleanor Williams	01/10/2014 18:32
compound	estradiol	http://www.orpha.net/ORDO/Orphanet_319589	E-GEOD-11352	48hr timepoint - E2 treated - biological rep2	Eleanor Williams	01/10/2014 18:32
compound	estrogen	http://www.orpha.net/ORDO/Orphanet_486	E-GEOD-11324	12hr 1_redo2	Eleanor Williams	01/10/2014 18:32
compound	indole-3-acetic acid	http://www.orpha.net/ORDO/Orphanet_319535	E-GEOD-13783	IAA7mII over-expressor_IAA treated_replicate 3	Eleanor Williams	01/10/2014 18:32
compound	L-azetidine-2-carboxylic acid	http://www.orpha.net/ORDO/Orphanet_319539	E-GEOD-11758	AZC_rep3	Eleanor Williams	01/10/2014 18:32
compound	L-proline	http://www.orpha.net/ORDO/Orphanet_477857	E-GEOD-11758	proline_rep2	Eleanor Williams	01/10/2014 18:32
compound	methanol	http://www.orpha.net/ORDO/Orphanet_319569	E-GEOD-10719	"Arabidopsis cell culture, 4 h_control_rep3"	Eleanor Williams	01/10/2014 18:32
compound	neocarzinostatin	http://www.orpha.net/ORDO/Orphanet_319574	E-GEOD-1676	p53_siRNA_4c	Eleanor Williams	01/10/2014 18:32
compound	none	http://www.orpha.net/ORDO/Orphanet_439849	E-GEOD-10019	RGA-GR-MOCK-REP2	Eleanor Williams	01/10/2014 18:32
compound	none	http://www.orpha.net/ORDO/Orphanet_420702	E-GEOD-10646	"mkk2, no-treatment, rep-B"	Eleanor Williams	01/10/2014 18:32
compound	none	http://www.orpha.net/ORDO/Orphanet_420699	E-GEOD-10732	"Arabidopsis plant (tga2-5-6), 4h_control_rep2"	Eleanor Williams	01/10/2014 18:32
compound	none	http://www.orpha.net/ORDO/Orphanet_331176	E-GEOD-1112	ot1	Eleanor Williams	01/10/2014 18:32
compound	none	http://www.orpha.net/ORDO/Orphanet_423384	E-GEOD-11216	Col_mock_rep3	Eleanor Williams	01/10/2014 18:32
compound	none	http://www.orpha.net/ORDO/Orphanet_111	E-GEOD-11281	PBMCs_untreated_biorep3	Eleanor Williams	01/10/2014 18:32
compound	none	http://www.orpha.net/ORDO/Orphanet_125	E-GEOD-11324	0hr 2	Eleanor Williams	01/10/2014 18:32
compound	none	http://www.orpha.net/ORDO/Orphanet_175	E-GEOD-11758	HS_rep2	Eleanor Williams	01/10/2014 18:32
compound	none	http://www.orpha.net/ORDO/Orphanet_167	E-GEOD-11807	"A.thaliana mpk6-ko, H2O 4h rep3"	Eleanor Williams	01/10/2014 18:32
compound	none	http://www.orpha.net/ORDO/Orphanet_379	E-GEOD-11852	pkl Mutant Germinating Seeds With Solvent Treatment Only Set 2 of 6	Eleanor Williams	01/10/2014 18:32
compound	none	http://www.orpha.net/ORDO/Orphanet_1334	E-GEOD-11919	GM5659_Control_rep2	Eleanor Williams	01/10/2014 18:32
compound	none	http://www.orpha.net/ORDO/Orphanet_91359	E-GEOD-11941	"Human Hepatocytes_Control, Donor_2"	Eleanor Williams	01/10/2014 18:32
compound	none	http://www.orpha.net/ORDO/Orphanet_193	E-GEOD-12198	GSM307008	Eleanor Williams	01/10/2014 18:32
compound	none	http://www.orpha.net/ORDO/Orphanet_169082	E-GEOD-12949	G103-2	Eleanor Williams	01/10/2014 18:32
compound	none	http://www.orpha.net/ORDO/Orphanet_169090	E-GEOD-13487	A375shBRaf_Control_3	Eleanor Williams	01/10/2014 18:32
compound	none	http://www.orpha.net/ORDO/Orphanet_217390	E-GEOD-13783	IAA7mII over-expressor_mock treated_replicate 2	Eleanor Williams	01/10/2014 18:32
compound	none	http://www.orpha.net/ORDO/Orphanet_445018	E-GEOD-13833	Col-0_MOCK_6d_rep1	Eleanor Williams	01/10/2014 18:32
compound	none	http://www.orpha.net/ORDO/Orphanet_397964	E-GEOD-13887	SLE9-TC	Eleanor Williams	01/10/2014 18:32
compound	none	http://www.orpha.net/ORDO/Orphanet_317428	E-GEOD-13975	Mock-labelled fMSC Control 3	Eleanor Williams	01/10/2014 18:32
compound	none	http://www.orpha.net/ORDO/Orphanet_431149	E-GEOD-1417	Untreated HeLa Replicate 4 U133A	Eleanor Williams	01/10/2014 18:32
compound	none	http://www.orpha.net/ORDO/Orphanet_231154	E-GEOD-15254	GSM381035	Eleanor Williams	01/10/2014 18:32
compound	none	http://www.orpha.net/ORDO/Orphanet_317430	E-GEOD-15947	"RWPE1 cells, vehicle, 48h, biological rep3"	Eleanor Williams	01/10/2014 18:32
compound	none	http://www.orpha.net/ORDO/Orphanet_314689	E-GEOD-1615	UNT-NL1-B	Eleanor Williams	01/10/2014 18:32
compound	none	http://www.orpha.net/ORDO/Orphanet_911	E-GEOD-1676	LacZ control_0c	Eleanor Williams	01/10/2014 18:32
compound	none	http://www.orpha.net/ORDO/Orphanet_1572	E-GEOD-17140	GSM429008	Eleanor Williams	01/10/2014 18:32
compound	none	http://www.orpha.net/ORDO/Orphanet_280133	E-GEOD-1746	normal monocyte 3	Eleanor Williams	01/10/2014 18:32
compound	placebo	http://www.orpha.net/ORDO/Orphanet_357329	E-GEOD-1413	AKT_PLACEBO_12hours_3	Eleanor Williams	01/10/2014 18:32
compound	rapamycin	http://www.orpha.net/ORDO/Orphanet_2686	E-GEOD-15254	GSM381052	Eleanor Williams	01/10/2014 18:32
compound	tunicamycin	http://www.orpha.net/ORDO/Orphanet_1775	E-GEOD-11758	tunicamycin_rep2	Eleanor Williams	01/10/2014 18:32
compound	uniconazole	http://www.orpha.net/ORDO/Orphanet_302	E-GEOD-11852	pkl Mutant Germinating Seeds With Uniconazole Treatment Set 2 of 6	Eleanor Williams	01/10/2014 18:32
compound	valproic acid	http://www.orpha.net/ORDO/Orphanet_540	E-GEOD-1615	VPA-NL4-B	Eleanor Williams	01/10/2014 18:32
compound	vehicle	http://www.orpha.net/ORDO/Orphanet_101351	E-GEOD-11352	24hr timepoint - Untreated control - biological rep2	Eleanor Williams	01/10/2014 18:32
compound	vehicle	http://www.orpha.net/ORDO/Orphanet_79259	E-GEOD-10718	Mock 24h repC	Eleanor Williams	01/10/2014 18:32
compound	vehicle	http://www.orpha.net/ORDO/Orphanet_169105	E-GEOD-11981	GSM303296	Eleanor Williams	01/10/2014 18:32
compound	vehicle	http://www.orpha.net/ORDO/Orphanet_276608	E-GEOD-12113	"Untreated, replicate 1, set 1"	Eleanor Williams	01/10/2014 18:32
compound	vehicle control	http://www.orpha.net/ORDO/Orphanet_276580	E-GEOD-11959	"vehicle, biological replicate 4"	Eleanor Williams	01/10/2014 18:32
compound	"2,4,6-trinitrotoluene"	http://www.orpha.net/ORDO/Orphanet_276575	E-GEOD-18983	GSM469813	Eleanor Williams	01/10/2014 18:33
compound	abscisic acid	http://www.orpha.net/ORDO/Orphanet_79644	E-GEOD-23301	GSM571896	Eleanor Williams	01/10/2014 18:33
compound	androgen	http://www.orpha.net/ORDO/Orphanet_79643	E-GEOD-2225	androgen treated - Rep 1	Eleanor Williams	01/10/2014 18:33
compound	cAMP	http://www.orpha.net/ORDO/Orphanet_657	E-GEOD-2413	2h Kin- Cel.45	Eleanor Williams	01/10/2014 18:33
compound	CdCl2	http://www.orpha.net/ORDO/Orphanet_165988	E-GEOD-19245	GSM476843	Eleanor Williams	01/10/2014 18:33
compound	chitin	http://www.orpha.net/ORDO/Orphanet_79298	E-GEOD-2169	RRE2_Chitin2	Eleanor Williams	01/10/2014 18:33
compound	chitin octamer	http://www.orpha.net/ORDO/Orphanet_276603	E-GEOD-2538	Col_8mer2	Eleanor Williams	01/10/2014 18:33
compound	control	http://www.orpha.net/ORDO/Orphanet_276598	E-GEOD-2413	0h Kin Cel.05	Eleanor Williams	01/10/2014 18:33
compound	crab shell chitin	http://www.orpha.net/ORDO/Orphanet_33111	E-GEOD-2538	Col_CSC2	Eleanor Williams	01/10/2014 18:33
compound	DMSO	http://www.orpha.net/ORDO/Orphanet_314585	E-GEOD-19266	GSM477967	Eleanor Williams	01/10/2014 18:33
compound	estradiol	http://www.orpha.net/ORDO/Orphanet_1772	E-GEOD-19266	GSM477984	Eleanor Williams	01/10/2014 18:33
compound	estrogen	http://www.orpha.net/ORDO/Orphanet_325055	E-GEOD-2225	estrogen treated - Rep 3	Eleanor Williams	01/10/2014 18:33
compound	ethanol	http://www.orpha.net/ORDO/Orphanet_98078	E-GEOD-22533	GSM559515	Eleanor Williams	01/10/2014 18:33
compound	ethanol	http://www.orpha.net/ORDO/Orphanet_91144	E-GEOD-23301	GSM571891	Eleanor Williams	01/10/2014 18:33
compound	fulvestrant	http://www.orpha.net/ORDO/Orphanet_243	E-GEOD-22533	GSM559511	Eleanor Williams	01/10/2014 18:33
compound	glycerol-3-phosphate	http://www.orpha.net/ORDO/Orphanet_2138	E-GEOD-26973	GSM664062	Eleanor Williams	01/10/2014 18:33
compound	indole-3-acetic acid	http://www.orpha.net/ORDO/Orphanet_393	E-GEOD-18975	Quint_2-64_Col-0-30min_Rep1_ATH1	Eleanor Williams	01/10/2014 18:33
compound	isoxaben	http://www.orpha.net/ORDO/Orphanet_242	E-GEOD-17824	IXB_induced_Rep3	Eleanor Williams	01/10/2014 18:33
compound	lipopolysaccharide	http://www.orpha.net/ORDO/Orphanet_325118	E-GEOD-26343	GSM646892	Eleanor Williams	01/10/2014 18:33
compound	methyl jasmonate	http://www.orpha.net/ORDO/Orphanet_168558	E-GEOD-18667	GSM463702	Eleanor Williams	01/10/2014 18:33
compound	none	http://www.orpha.net/ORDO/Orphanet_752	E-GEOD-17824	"Methanol_Rep1, TA"	Eleanor Williams	01/10/2014 18:33
compound	none	http://www.orpha.net/ORDO/Orphanet_753	E-GEOD-18648	GSM463364	Eleanor Williams	01/10/2014 18:33
compound	none	http://www.orpha.net/ORDO/Orphanet_325357	E-GEOD-18667	GSM463699	Eleanor Williams	01/10/2014 18:33
compound	none	http://www.orpha.net/ORDO/Orphanet_90796	E-GEOD-18975	Quint_2-1_Bay-0-0h_Rep1_ATH1	Eleanor Williams	01/10/2014 18:33
compound	none	http://www.orpha.net/ORDO/Orphanet_325345	E-GEOD-18983	GSM469816	Eleanor Williams	01/10/2014 18:33
compound	none	http://www.orpha.net/ORDO/Orphanet_251510	E-GEOD-19245	GSM476828	Eleanor Williams	01/10/2014 18:33
compound	none	http://www.orpha.net/ORDO/Orphanet_96263	E-GEOD-20211	GSM506909	Eleanor Williams	01/10/2014 18:33
compound	none	http://www.orpha.net/ORDO/Orphanet_70591	E-GEOD-20719	GSM520229	Eleanor Williams	01/10/2014 18:33
compound	none	http://www.orpha.net/ORDO/Orphanet_275786	E-GEOD-20876	GSM521991	Eleanor Williams	01/10/2014 18:33
compound	none	http://www.orpha.net/ORDO/Orphanet_275777	E-GEOD-2169	Col_C1	Eleanor Williams	01/10/2014 18:33
compound	none	http://www.orpha.net/ORDO/Orphanet_422	E-GEOD-22942	GSM566480	Eleanor Williams	01/10/2014 18:33
compound	none	http://www.orpha.net/ORDO/Orphanet_275766	E-GEOD-23909	GSM589557	Eleanor Williams	01/10/2014 18:33
compound	none	http://www.orpha.net/ORDO/Orphanet_182090	E-GEOD-24763	GSM609888	Eleanor Williams	01/10/2014 18:33
