"ID"	"IRI"	"PreferredTerm"	"Description"	"Code"
"urn:miriam:orphanet:100044"	"urn:miriam:orphanet:Orphanet_100044"	"Autosomal dominant intermediate Charcot-Marie-Tooth disease type B"	"Autosomal dominant intermediate Charcot-Marie-Tooth disease type B is a rare hereditary motor and sensory neuropathy characterized by intermediate motor median nerve conduction velocities (usually between 25 and 45 m/s) and signs of both demyelination and axonal degeneration in nerve biopsies. It presents with mild to moderately severe, slowly progressive usual clinical features of Charcot-Marie-Tooth disease (muscle weakness and atrophy of the distal extremities, distal sensory loss, reduced or absent deep tendon reflexes, and feet deformities). Other findings include asymptomatic neutropenia and early-onset cataracts."	"100044"
"urn:miriam:orphanet:100045"	"urn:miriam:orphanet:Orphanet_100045"	"Autosomal dominant intermediate Charcot-Marie-Tooth disease type C"	"Autosomal dominant intermediate Charcot-Marie-Tooth disease type C is a rare hereditary motor and sensory neuropathy characterized by intermediate motor median nerve conduction velocities (usually between 25 and 60 m/s). It presents with moderately severe, slowly progressive usual clinical features of Charcot-Marie-Tooth disease (muscle weakness and atrophy of the distal extremities, distal sensory loss, reduced or absent deep tendon reflexes, feet deformities, extensor digitorum brevis atrophy). Findings in nerve biopsies include age-dependent axonal degeneration, reduced number of large myelinated fibres, segmental remyelination, and no onion bulbs."	"100045"
"urn:miriam:orphanet:100046"	"urn:miriam:orphanet:Orphanet_100046"	"Autosomal dominant intermediate Charcot-Marie-Tooth disease type D"	"Autosomal dominant intermediate Charcot-Marie-Tooth disease type D is a rare hereditary motor and sensory neuropathy characterized by intermediate motor median nerve conduction velocities (usually between 25 and 45 m/s) and signs of both axonal degeneration and demyelination without onion bulbs in nerve biopsies. It presents with usual Charcot-Marie-Tooth disease clinical features of variable severity (progressive muscle weakness and atrophy of the distal extremities, distal sensory loss, reduced or absent deep tendon reflexes, and feet deformities). Other findings in some of the families include debilitating neuropathic pain and mild postural/kinetic upper limb tremor."	"100046"
"urn:miriam:orphanet:100047"	"urn:miriam:orphanet:Orphanet_100047"	"Esophageal duplication cyst"	"Esophageal duplication cyst is a rare, congenital, non-syndromic esophageal malformation, most frequently located in the distal esophagus and usually diagnosed in childhood, characterized by tubular or spherical cystic masses that have a double layer of surrounding smooth muscle lined with squamous or enteric epithelium, are continuous or contiguous to the esophagus and may, or may not, communicate with the esophageal lumen. Patients are frequently asymptomatic, or could present with a wide range of symptoms including respiratory distress, failure to thrive, dysphagia, epigastric discomfort, vomiting, stridor, non-productive cough, and chest pain. Other more rare symptoms, such as cardiac arrhythmia, thoracic back pain, cystic hemorrgage and ulceration, and mediastinitis, have also been reported."	"100047"
"urn:miriam:orphanet:100048"	"urn:miriam:orphanet:Orphanet_100048"	"Tubular duplication of the esophagus"	"Tubular duplication of the esophagous is a rare congenital malformation where a second structure with individual lumen and stratified squamous mucosa and muscularis mucosa lies within or adjacent to the true esophagus causing dysphagia, nausea, vomiting, retrosternal pain and respiratory problems (stridor and recurrent pneumonia) and usually presenting in children."	"100048"
"urn:miriam:orphanet:100049"	"urn:miriam:orphanet:Orphanet_100049"	"Primary interstitial lung disease specific to childhood due to pulmonary surfactant protein anomalies"	"Primary interstitial lung disease specific to childhood due to pulmonary surfactant protein anomalies is a group of interstitial lung diseases (ILD) induced by genetic mutations disrupting surfactant function and gas exchange in the lung. The disorders caused by these mutations affect full-term infants and older children and exhibit considerable overlap in their clinical and histologic presentation."	"100049"
"urn:miriam:orphanet:100050"	"urn:miriam:orphanet:Orphanet_100050"	"Hereditary angioedema type 1"	"Hereditary angioedema type 1 (HAE 1) is a form of hereditary angioedema (see this term) characterized by acute edema in subcutaneous tissues, viscera and/or the upper airway."	"100050"
"urn:miriam:orphanet:100051"	"urn:miriam:orphanet:Orphanet_100051"	"Hereditary angioedema type 2"	"Hereditary angioedema type 2 (HAE 2) is a form of hereditary angioedema (see this term) characterized by acute edema in subcutaneous tissues, viscera and/or the upper airway."	"100051"
"urn:miriam:orphanet:100054"	"urn:miriam:orphanet:Orphanet_100054"	"Hereditary angioedema type 3"	"Hereditary angioedema type 3 (HAE 3) is a form of hereditary angioedema (see this term) characterized by acute edema in subcutaneous tissues, viscera and/or the upper airway."	"100054"
"urn:miriam:orphanet:100055"	"urn:miriam:orphanet:Orphanet_100055"	"Acquired angioedema type 2"	"Acquired angioedema type 2 (AAE2) is a type of acquired angioedema (AAE, see this term) characterized by acute edema in subcutaneous tissues, viscera and/or the upper airway."	"100055"
"urn:miriam:orphanet:100056"	"urn:miriam:orphanet:Orphanet_100056"	"Acquired angioedema type 1"	"Acquired angioedema type 1 (AAE 1) is a type of acquired angioedema (AAE) (see this term) characterized by acute edema in subcutaneous tissues, viscera and/or the upper airway."	"100056"
"urn:miriam:orphanet:100057"	"urn:miriam:orphanet:Orphanet_100057"	"Renin-angiotensin-aldosterone system-blocker-induced angioedema"	"Renin-angiotensin-aldosterone system (RAAS)-blocker induced angioedema (RAE) is a type of acquired angioedema (AAE, see this term) characterized by acute edema in subcutaneous tissues, viscera and/or the upper airway."	"100057"
"urn:miriam:orphanet:100067"	"urn:miriam:orphanet:Orphanet_100067"	"Waterhouse-Friderichsen syndrome"		"100067"
"urn:miriam:orphanet:100069"	"urn:miriam:orphanet:Orphanet_100069"	"Semantic dementia"	"Semantic dementia (SD) is a form of frontotemporal dementia (FTD; see this term), characterized by the progressive, amodal and profound loss of semantic knowledge (combination of visual associative agnosia, anomia, surface dyslexia or dysgraphia and disrupted comprehension of word meaning) and behavioral abnormalities, attributable to the degeneration of the anterior temporal lobes."	"100069"
"urn:miriam:orphanet:100070"	"urn:miriam:orphanet:Orphanet_100070"	"Progressive non-fluent aphasia"	"Progressive non-fluent aphasia (PNFA) is a form of frontotemporal dementia (FTD; see this term), characterized by agrammatism, laborious speech, alexia, and agraphia, frequently accompanied by apraxia of speech (AOS). Language comprehension is relatively preserved."	"100070"
"urn:miriam:orphanet:100071"	"urn:miriam:orphanet:Orphanet_100071"	"Mosaic trisomy 3"	"Mosaic trisomy 3 is a rare chromosomal anomaly syndrome with high phenotypic variability ranging from a mild phenotype presenting joint pain and laxity, mild facial dysmorphism (e.g. long facies, prominent eyes, dysplastic ears, downturned corners of the mouth, micrognathia) and no developmental delays to more severe phenotypes including short stature, intellectual disability, severe developmental delays, additional craniofacial dysmorphic features (e.g. brachycephaly, high forehead, flat midface, short neck) and hearing impairment, as well as skeletal (e.g. pectus excavatum, scoliosis), ocular (e.g. coloboma) and cardiac abnormalities."	"100071"
"urn:miriam:orphanet:100072"	"urn:miriam:orphanet:Orphanet_100072"	"OBSOLETE: True vascular thoracic outlet syndrome"		"100072"
"urn:miriam:orphanet:100073"	"urn:miriam:orphanet:Orphanet_100073"	"Neurogenic thoracic outlet syndrome"	"Neurogenic thoracic outlet syndrome (NTOS) is a form of thoracic outlet syndrome (TOS; see this term) that presents with pain, paresthesias and weakness in an upper extremity and is divided into true NTOS and disputed NTOS."	"100073"
"urn:miriam:orphanet:100075"	"urn:miriam:orphanet:Orphanet_100075"	"Neuroendocrine tumor of stomach"	"Gastric neuroendocrine tumor is a rare subtype of neuroendocrine neoplasm, arising from enterochromaffin-like cells in the stomach, with a variable clinical presentation, disease course and prognosis, depending on the disease type and histological grade. Most patients are asymptomatic, with diagnosis usually occurring incidentally during gastroscopy, however, symptoms of dyspepsia, anemia, pain, weight loss and gastrointestinal bleeding can be observed. Association with Zollinger-Ellison syndrome and multiple endocrine neoplasia type I has been reported."	"100075"
"urn:miriam:orphanet:100076"	"urn:miriam:orphanet:Orphanet_100076"	"Duodenal neuroendocrine tumor"		"100076"
"urn:miriam:orphanet:100077"	"urn:miriam:orphanet:Orphanet_100077"	"Jejunal neuroendocrine tumor"	"Jejunal neuroendocrine tumor is a rare, primary, malignant, epithelial neoplasm of the small intestine arising from enterochromaffin cells in the jejunum. Clinical behavior depends on the histologic grade, but initially it is generally characterized by vague abdominal symptoms (cramping, bloating, diarrhea) with insidious onset, although sometimes it could present with signs of bowel obstruction/perforation or gastrointestinal bleeding. Diagnosis in advanced stages with regional or distant spread is common, but signs of carcinoid syndrome (flushing, sweating, diarrhea) are usually not apparent until hepatic metastasis has occurred."	"100077"
"urn:miriam:orphanet:100078"	"urn:miriam:orphanet:Orphanet_100078"	"Ileal neuroendocrine tumor"	"Ileal neuroendocrine tumor is a rare, primary, malignant, epithelial neoplasm of the small intestine arising from enterochromaffin cells in the ileum (usually the terminal ileum). Clinical behavior depends on the histologic grade, but initially it is generally characterized by vague abdominal symptoms (cramping, bloating, diarrhea) with insidious onset, although sometimes it could present with signs of bowel obstruction/perforation or gastrointestinal bleeding. Diagnosis in advanced stages with regional or distant spread is common, but signs of carcinoid syndrome (flushing, sweating, diarrhea) are usually not apparent until hepatic metastasis has occurred."	"100078"
"urn:miriam:orphanet:100079"	"urn:miriam:orphanet:Orphanet_100079"	"Neuroendocrine neoplasm of appendix"	"Endocrine tumor of the appendix is the most common sporadic neoplasm of the appendix and the second most common type of digestive endocrine tumor, often with no specific clinical presentation. They are divided into either classic endocrine tumor of the appendix or the more aggressive goblet cell carcinoma (GCC; see these terms)."	"100079"
"urn:miriam:orphanet:100080"	"urn:miriam:orphanet:Orphanet_100080"	"Neuroendocrine tumor of the colon"	"Neuroendocrine tumor of the colon is a rare epithelial tumor of the large intestine, arising from enterochromaffin cells, most commonly in the cecum or ascending colon. The tumor is usually slow-growing and can be diagnosed as an incidental finding in an asymptomatic patient, while in the later stages patients can present with abdominal pain, palpable abdominal mass, changes in bowel habits, signs of bowel obstruction, gastrointestinal bleeding, anorexia, weight loss or, rarely, carcinoid syndrome (facial flushing, diarrhea, tachycardia, hypo- and hypertension, cardiac abnormalities)."	"100080"
"urn:miriam:orphanet:100081"	"urn:miriam:orphanet:Orphanet_100081"	"Neuroendocrine tumor of the rectum"	"Neuroendocrine tumor of the rectum is a rare epithelial tumor of rectum arising from enterochromaffin cells, most often in the mid-rectum. The tumors are slow growing, in early stages majority are asymptomatic and are diagnosed incidentally. Later in the course, the tumor may present with rectal bleeding, abdominal or rectal pain, tenesmus, changes in bowel habits, or weight loss. In some cases it may present with carcinoid symptoms of flushing and increased gut motility."	"100081"
"urn:miriam:orphanet:100082"	"urn:miriam:orphanet:Orphanet_100082"	"Neuroendocrine tumor of anal canal"	"Neuroendocrine tumor of the anal canal is an epithelial tumor of anal canal arising from enterochromaffin cells in the colorectal-type epithelium above the dentate line and in the anal transition zone. The tumors are slow growing and the majority of cases are diagnosed in later advanced stages. It may present with symptoms related to the anatomical location of the tumor (rectal mass, rectal bleeding and pain, tenesmus or changes in bowel habits), symptoms of carcinoid syndrome (flushing and increased gut motility) or nonspecific symptoms of advanced disease (hepatomegaly, fever, weight loss, anorexia, malaise)."	"100082"
"urn:miriam:orphanet:100083"	"urn:miriam:orphanet:Orphanet_100083"	"Laryngeal neuroendocrine tumor"		"100083"
"urn:miriam:orphanet:100084"	"urn:miriam:orphanet:Orphanet_100084"	"Middle ear neuroendocrine tumor"		"100084"
"urn:miriam:orphanet:100085"	"urn:miriam:orphanet:Orphanet_100085"	"Primary hepatic neuroendocrine carcinoma"	"Primary hepatic neuroendocrine carcinoma (PHNEC) is a rare hepatic tumor that may manifest with abdominal pain or fullness, as well as diarrhea or weight loss. More than 10% of cases are asymptomatic and in rare cases a carcinoid syndrome may be observed."	"100085"
"urn:miriam:orphanet:100086"	"urn:miriam:orphanet:Orphanet_100086"	"Gallbladder neuroendocrine tumor"		"100086"
"urn:miriam:orphanet:100087"	"urn:miriam:orphanet:Orphanet_100087"	"Thyroid tumor"		"100087"
"urn:miriam:orphanet:100088"	"urn:miriam:orphanet:Orphanet_100088"	"Thyroid carcinoma"		"100088"
"urn:miriam:orphanet:100090"	"urn:miriam:orphanet:Orphanet_100090"	"Rare parathyroid tumor"		"100090"
"urn:miriam:orphanet:100091"	"urn:miriam:orphanet:Orphanet_100091"	"Adrenal/paraganglial tumor"		"100091"
"urn:miriam:orphanet:100092"	"urn:miriam:orphanet:Orphanet_100092"	"Gastroenteropancreatic neuroendocrine neoplasm"		"100092"
"urn:miriam:orphanet:100093"	"urn:miriam:orphanet:Orphanet_100093"	"Carcinoid syndrome"		"100093"
"urn:miriam:orphanet:100094"	"urn:miriam:orphanet:Orphanet_100094"	"Multiple polyglandular tumor"		"100094"
"urn:miriam:orphanet:1001"	"urn:miriam:orphanet:Orphanet_1001"	"2q37 microdeletion syndrome"	"Deletion 2q37 or monosomy 2q37 is a chromosomal anomaly involving deletion of chromosome band 2q37 and manifests as three major clinical findings: developmental delay, skeletal malformations and facial dysmorphism."	"1001"
"urn:miriam:orphanet:100100"	"urn:miriam:orphanet:Orphanet_100100"	"Thymic tumor"		"100100"
"urn:miriam:orphanet:100101"	"urn:miriam:orphanet:Orphanet_100101"	"Neuroendocrine tumor with other location"		"100101"
"urn:miriam:orphanet:1003"	"urn:miriam:orphanet:Orphanet_1003"	"Scalp defects-postaxial polydactyly syndrome"	"Scalp defects-postaxial polydactyly syndrome is characterised by congenital scalp defects and postaxial polydactyly type A."	"1003"
"urn:miriam:orphanet:1005"	"urn:miriam:orphanet:Orphanet_1005"	"Alopecia-contractures-dwarfism-intellectual disability syndrome"	"Alopecia-contractures-dwarfism-intellectual disability syndrome (ACD syndrome) is a form of ectodermal dysplasia syndrome characterized by a short stature of prenatal onset, alopecia, ichthyosis, photophobia, ectrodactyly, seizures, scoliosis, multiple contractures, fusions of various bones (particularly elbows, carpals, metacarpals, and spine), intellectual disability, and facial dysmorphism (microdolichocephaly, madarosis, large ears and long nose). ACD syndrome overlaps with ichthyosis follicularis-alopecia-photophobia syndrome."	"1005"
"urn:miriam:orphanet:1006"	"urn:miriam:orphanet:Orphanet_1006"	"Alopecia antibody deficiency"		"1006"
"urn:miriam:orphanet:1008"	"urn:miriam:orphanet:Orphanet_1008"	"Alopecia-epilepsy-pyorrhea-intellectual disability syndrome"	"Alopecia-epilepsy-pyorrhea-intellectual disability syndrome is characterized by congenital permanent alopecia universalis, intellectual disability, psychomotor epilepsy and periodontitis (pyorrhea). Total permanent alopecia and pyorrhea are invariably concomitant while intellectual disability and psychomotor epilepsy are observed in most patients. No other abnormality of nails or skin (apart from absence of hair) has been reported. Transmission is autosomal dominant."	"1008"
"urn:miriam:orphanet:100924"	"urn:miriam:orphanet:Orphanet_100924"	"Porphyria due to ALA dehydratase deficiency"	"Porphyria of doss or deficiency of delta-aminolevulinic acid dehydratase (DALAD) is an extremely rare form of acute hepatic porphyria (see this term) characterized by neuro-visceral attacks without cutaneous manifestations."	"100924"
"urn:miriam:orphanet:100932"	"urn:miriam:orphanet:Orphanet_100932"	"Nuclear oculomotor paralysis"		"100932"
"urn:miriam:orphanet:100973"	"urn:miriam:orphanet:Orphanet_100973"	"FRAXE intellectual disability"	"FRAXE is a form of nonsyndromic X-linked mental retardation (NS-XLMR) characterized by mild intellectual deficit. FRAXE is the most common form of NS-XLMR."	"100973"
"urn:miriam:orphanet:100974"	"urn:miriam:orphanet:Orphanet_100974"	"FRAXF syndrome"	"FRAXF syndrome was originally identified in a family with developmental delay and an expanded CCG repeat at the folate-sensitive FRAXF fragile site. Since this initial description, FRAXF has been associated with a range of manifestations but no clear phenotype has been established."	"100974"
"urn:miriam:orphanet:100976"	"urn:miriam:orphanet:Orphanet_100976"	"Bathing suit ichthyosis"	"Bathing suit ichthyosis (BSI) is a rare variant of autosomal recessive congenital ichthyosis (ARCI; see this term) characterized by the presence of large dark scales in specific areas of the body."	"100976"
"urn:miriam:orphanet:100978"	"urn:miriam:orphanet:Orphanet_100978"	"Cloverleaf skull-asphyxiating thoracic dysplasia syndrome"		"100978"
"urn:miriam:orphanet:100979"	"urn:miriam:orphanet:Orphanet_100979"	"Autosomal dominant complex spastic paraplegia"		"100979"
"urn:miriam:orphanet:100980"	"urn:miriam:orphanet:Orphanet_100980"	"Autosomal dominant pure spastic paraplegia"		"100980"
"urn:miriam:orphanet:100981"	"urn:miriam:orphanet:Orphanet_100981"	"Autosomal recessive complex spastic paraplegia"		"100981"
"urn:miriam:orphanet:100982"	"urn:miriam:orphanet:Orphanet_100982"	"Autosomal recessive pure spastic paraplegia"		"100982"
"urn:miriam:orphanet:100984"	"urn:miriam:orphanet:Orphanet_100984"	"Autosomal dominant spastic paraplegia type 3"		"100984"
"urn:miriam:orphanet:100985"	"urn:miriam:orphanet:Orphanet_100985"	"Autosomal dominant spastic paraplegia type 4"	"Autosomal dominant spastic paraplegia type 4 (SPG4) is a form of hereditary spastic paraplegia with high intrafamilial clinical variability, characterized in most cases as a pure phenotype with an adult onset (mainly the 3rd to 5th decade of life, but that can present at any age) of progressive gait impairment due to bilateral lower-limb spasticity and weakness as well as very mild proximal weakness and urinary urgency. In some cases, a complex phenotype is also reported with additional manifestations including cognitive impairment, cerebellar ataxia, epilepsy and neuropathy. A faster disease progression is noted in patients with a later age of onset."	"100985"
"urn:miriam:orphanet:100986"	"urn:miriam:orphanet:Orphanet_100986"	"Autosomal recessive spastic paraplegia type 5A"	"Autosomal recessive spastic paraplegia type 5A is a form of hereditary spastic paraplegia characterized by either a pure phenotype of slowly progressive spastic paraplegia of the lower extremities with bladder dysfunction and pes cavus or a complex presentation with additional manifestations including cerebellar signs, nystagmus, distal or generalized muscle atrophy and cognitive impairment. Age of onset is highly variable, ranging from early childhood to adulthood. White matter hyperintensity and cerebellar and spinal cord atrophy may be noted, on brain magnetic resonance imaging, in some patients."	"100986"
