"ID"	"IRI"	"PreferredTerm"	"Description"	"Code"
"urn:miriam:uberon:0000021"	"http://purl.obolibrary.org/obo/UBERON_0000021"	"cutaneous appendage"	"Anatomical projection that protrudes from the skin. Examples: hair, nail, feather, claw, hoof, horn, wattle, spur, beak, antler, bristle and some scales."	"0000021"
"urn:miriam:uberon:0000022"	"http://purl.obolibrary.org/obo/UBERON_0000022"	"feather"	"one of the epidermal growths that form the distinctive outer covering, or plumage, on birds. Feathers are formed in tiny follicles in the epidermis, or outer skin layer, that produce keratin proteins."	"0000022"
"urn:miriam:uberon:0000023"	"http://purl.obolibrary.org/obo/UBERON_0000023"	"wing"	"Appendage that is shaped in order to produce lift for flight through the air."	"0000023"
"urn:miriam:uberon:0000024"	"http://purl.obolibrary.org/obo/UBERON_0000024"	"forelimb wing"	"Forelimb that is used to produce lift for flight through the air."	"0000024"
"urn:miriam:uberon:0000025"	"http://purl.obolibrary.org/obo/UBERON_0000025"	"tube"	"Any hollow cylindrical anatomical structure containing a lumen through which substances are transported."	"0000025"
"urn:miriam:uberon:0000026"	"http://purl.obolibrary.org/obo/UBERON_0000026"	"appendage"	"Major subdivision of an organism that protrudes from the body[DOS, CARO]."	"0000026"
"urn:miriam:uberon:0000029"	"http://purl.obolibrary.org/obo/UBERON_0000029"	"lymph node"	"Any of the rounded masses of lymphoid tissue that are surrounded by a capsule of connective tissue, are distributed along the lymphatic vessels, and contain numerous lymphocytes which filter the flow of lymph."	"0000029"
"urn:miriam:uberon:0000030"	"http://purl.obolibrary.org/obo/UBERON_0000030"	"lamina propria"	"A thin layer of loose connective tissue which lies beneath the epithelium and together with the epithelium constitutes the mucosa[WP]. The lamina propria contains capillaries and a central lacteal (lymph vessel) in the small intestine, as well as lymphoid tissue. Lamina propria also contains glands with the ducts opening on to the mucosal epithelium, that secrete mucus and serous secretions."	"0000030"
"urn:miriam:uberon:0000031"	"http://purl.obolibrary.org/obo/UBERON_0000031"	"lamina propria of trachea"	"A lamina propria that is part of a respiratory airway."	"0000031"
"urn:miriam:uberon:0000032"	"http://purl.obolibrary.org/obo/UBERON_0000032"	"obsolete cranial structure"		"0000032"
"urn:miriam:uberon:0000033"	"http://purl.obolibrary.org/obo/UBERON_0000033"	"head"	"The head is the anterior-most division of the body [GO]."	"0000033"
"urn:miriam:uberon:0000035"	"http://purl.obolibrary.org/obo/UBERON_0000035"	"primary ovarian follicle"	"An ovarian follicle that has one layer of granulosa cells."	"0000035"
"urn:miriam:uberon:0000036"	"http://purl.obolibrary.org/obo/UBERON_0000036"	"secondary ovarian follicle"	"A maturing ovarian follicle that has two more more layers of granulosa cells, up to the onset of antrum formation."	"0000036"
"urn:miriam:uberon:0000037"	"http://purl.obolibrary.org/obo/UBERON_0000037"	"tertiary ovarian follicle"	"A follicle that has reached the most mature stage of folliculogenesis, characterized by the presence of the antrum"	"0000037"
"urn:miriam:uberon:0000038"	"http://purl.obolibrary.org/obo/UBERON_0000038"	"follicular fluid"	"The fluid surrounding the ovum and granulosa cells in the ovarian follicle."	"0000038"
"urn:miriam:uberon:0000039"	"http://purl.obolibrary.org/obo/UBERON_0000039"	"follicular antrum"	"Region of ovarian follicle filled with follicular fluid."	"0000039"
"urn:miriam:uberon:0000040"	"http://purl.obolibrary.org/obo/UBERON_0000040"	"Leydig's organ"	"A hemopoietic organ found in elasmobranchs. Along with the spleen and special tissue around the gonads, this structure produces red blood cells and it is nestled along the top and bottom of the esophagus."	"0000040"
"urn:miriam:uberon:0000041"	"http://purl.obolibrary.org/obo/UBERON_0000041"	"odontode scale"	"Multi-tissue structure composed of enameloid, dentine surrounding a pulp cavity, and bone of attachment anchoring the element into the dermis[VSAO]."	"0000041"
"urn:miriam:uberon:0000042"	"http://purl.obolibrary.org/obo/UBERON_0000042"	"serous membrane"	"multi-tissue structure that is comprised of a secretory epithelial layer (mesothelium) and a connective tissue layer."	"0000042"
"urn:miriam:uberon:0000043"	"http://purl.obolibrary.org/obo/UBERON_0000043"	"tendon"	"Dense regular connective tissue that connects muscle to bone[VSAO]."	"0000043"
"urn:miriam:uberon:0000044"	"http://purl.obolibrary.org/obo/UBERON_0000044"	"dorsal root ganglion"	"* Sensory ganglia located on the dorsal spinal roots within the vertebral column. The spinal ganglion cells are pseudounipolar. The single primary branch bifurcates sending a peripheral process to carry sensory information from the periphery and a central branch which relays that information to the spinal cord or brain. (MSH) * ganglion found on the posterior root of each spinal nerve, composed of the unipolar nerve cell bodies of the sensory neurons of the nerve. (CSP)"	"0000044"
"urn:miriam:uberon:0000045"	"http://purl.obolibrary.org/obo/UBERON_0000045"	"ganglion"	"A biological tissue mass, most commonly a mass of nerve cell bodies."	"0000045"
"urn:miriam:uberon:0000046"	"http://purl.obolibrary.org/obo/UBERON_0000046"	"stemma"	"eye-spots which may be set into a pit to reduce the angles of light that enters and affects the eyespot, to allow the organism to deduce the angle of incoming light"	"0000046"
"urn:miriam:uberon:0000047"	"http://purl.obolibrary.org/obo/UBERON_0000047"	"simple eye"	"An eye with one concave chamber. Note that 'simple' does not imply a reduced level of complexity or acuity."	"0000047"
"urn:miriam:uberon:0000048"	"http://purl.obolibrary.org/obo/UBERON_0000048"	"pinhole eye"	"Simple eye that has a small aperture (which may be adjustable) and deep pit. It is only found in the nautiloids."	"0000048"
"urn:miriam:uberon:0000049"	"http://purl.obolibrary.org/obo/UBERON_0000049"	"spherical lensed eye"	"simple eye that consists of a lens of one refractive index"	"0000049"
"urn:miriam:uberon:0000050"	"http://purl.obolibrary.org/obo/UBERON_0000050"	"simple eye with multiple lenses"	"simple eye that has two or more lenses. Some marine organisms bear more than one lens; for instance the copeopod Pontella has three. The outer has a parabolic surface, countering the effects of spherical aberration while allowing a sharp image to be formed. Copilla's eyes have two lenses, which move in and out like a telescope"	"0000050"
"urn:miriam:uberon:0000051"	"http://purl.obolibrary.org/obo/UBERON_0000051"	"fornix of vagina"	"The deepest portions of the vagina, extending into the recesses created by the vaginal portion of cervix[WP,unvetted]."	"0000051"
"urn:miriam:uberon:0000052"	"http://purl.obolibrary.org/obo/UBERON_0000052"	"fornix of brain"	"A C-shaped bundle of fibres (axons) in the brain, and carries signals from the hippocampus to the mammillary bodies and septal nuclei. It is typically divided into the columns (crus), body, commissure and the pre-commissural and post-commissural fornix (MM)."	"0000052"
"urn:miriam:uberon:0000053"	"http://purl.obolibrary.org/obo/UBERON_0000053"	"macula lutea"	"An oval area in the retina, usually located temporal to the posterior pole of the eye and slightly below the level of the optic disk. It is characterized by the presence of a yellow pigment diffusely permeating the inner layers, contains the fovea centralis in its center, and provides the best phototopic visual acuity. It is devoid of retinal blood vessels, except in its periphery, and receives nourishment from the choriocapillaris of the choroid. (From Cline et al., Dictionary of Visual Science, 4th ed)"	"0000053"
"urn:miriam:uberon:0000054"	"http://purl.obolibrary.org/obo/UBERON_0000054"	"macula"	"Thickened areas of the saccule or utricle where the termination of the vestibular nerve occurs[MESH,modified]."	"0000054"
"urn:miriam:uberon:0000055"	"http://purl.obolibrary.org/obo/UBERON_0000055"	"vessel"	"A tubular structure that contains, conveys body fluid, such as blood or lymph."	"0000055"
"urn:miriam:uberon:0000056"	"http://purl.obolibrary.org/obo/UBERON_0000056"	"ureter"	"Muscular duct that propels urine from the kidneys to the urinary bladder, or related organs."	"0000056"
"urn:miriam:uberon:0000057"	"http://purl.obolibrary.org/obo/UBERON_0000057"	"urethra"	"the fibromuscular tubular canal through which urine is discharged from the bladder to the exterior via the external urinary meatus; in males, the urethra is joined by the ejaculatory ducts and serves as a passageway for semen during ejaculation, as well as a canal for urine during voiding; in females, the urethra is shorter and emerges above the vaginal opening"	"0000057"
"urn:miriam:uberon:0000058"	"http://purl.obolibrary.org/obo/UBERON_0000058"	"duct"	"A tubular structure that transports secreted or excreted substances."	"0000058"
"urn:miriam:uberon:0000059"	"http://purl.obolibrary.org/obo/UBERON_0000059"	"large intestine"	"A subdivision of the digestive tract that connects the small intestine to the cloaca or anus. Lacks or has few villi[Kardong]."	"0000059"
"urn:miriam:uberon:0000060"	"http://purl.obolibrary.org/obo/UBERON_0000060"	"anatomical wall"	"Organ component adjacent to an organ cavity and which consists of a maximal aggregate of organ component layers."	"0000060"
"urn:miriam:uberon:0000061"	"http://purl.obolibrary.org/obo/UBERON_0000061"	"anatomical structure"	"Material anatomical entity that is a single connected structure with inherent 3D shape generated by coordinated expression of the organism's own genome."	"0000061"
"urn:miriam:uberon:0000062"	"http://purl.obolibrary.org/obo/UBERON_0000062"	"organ"	"Anatomical structure that performs a specific function or group of functions [WP]."	"0000062"
"urn:miriam:uberon:0000063"	"http://purl.obolibrary.org/obo/UBERON_0000063"	"organ subunit"	"A part of an organ that constitutes a distinct modular sub-unit. In some cases, the organ may also contain other sub-units of identical or similar types, in other cases this may be a distinct entity."	"0000063"
"urn:miriam:uberon:0000064"	"http://purl.obolibrary.org/obo/UBERON_0000064"	"organ part"	"A multicellular structure that is a part of an organ."	"0000064"
"urn:miriam:uberon:0000065"	"http://purl.obolibrary.org/obo/UBERON_0000065"	"respiratory tract"	"Anatomical structure that is part of the respiratory system. In mammals consists of upper and lower tracts"	"0000065"
"urn:miriam:uberon:0000066"	"http://purl.obolibrary.org/obo/UBERON_0000066"	"fully formed stage"	"The stage of development at which the animal is fully formed, including immaturity and maturity. Includes both sexually immature stage, and adult stage."	"0000066"
"urn:miriam:uberon:0000067"	"http://purl.obolibrary.org/obo/UBERON_0000067"	"obsolete embryo stage part"	"A stage that is part of the embryo stage."	"0000067"
"urn:miriam:uberon:0000068"	"http://purl.obolibrary.org/obo/UBERON_0000068"	"embryo stage"	"A life cycle stage that starts with fertilization and ends with the fully formed embryo."	"0000068"
"urn:miriam:uberon:0000069"	"http://purl.obolibrary.org/obo/UBERON_0000069"	"larval stage"	"A distinct juvenile stage many animals undergo before metamorphosis into adults. Animals with indirect development such as insects, amphibians, or cnidarians typically have a larval phase of their life cycle."	"0000069"
"urn:miriam:uberon:0000070"	"http://purl.obolibrary.org/obo/UBERON_0000070"	"pupal stage"	"A life cycle stage of holometabolous insects in which the organism is a pupa and starts with the larval-pupal apolysis and ends with pupal-adult apolysis."	"0000070"
"urn:miriam:uberon:0000071"	"http://purl.obolibrary.org/obo/UBERON_0000071"	"death stage"	"End of the life of an organism."	"0000071"
"urn:miriam:uberon:0000072"	"http://purl.obolibrary.org/obo/UBERON_0000072"	"proximo-distal subdivision of respiratory tract"	"An section of a respiratory tract."	"0000072"
"urn:miriam:uberon:0000073"	"http://purl.obolibrary.org/obo/UBERON_0000073"	"regional part of nervous system"	"Any part or collection of parts of the central or peripheral nervous system. Parts may span both CNS and PNS."	"0000073"
"urn:miriam:uberon:0000074"	"http://purl.obolibrary.org/obo/UBERON_0000074"	"renal glomerulus"	"A capillary tuft which forms a close network with the visceral epithelium (podocytes) and the mesangium to form the filtration barrier and is surrounded by Bowman's capsule in nephrons of the vertebrate kidney[GO]."	"0000074"
"urn:miriam:uberon:0000075"	"http://purl.obolibrary.org/obo/UBERON_0000075"	"subdivision of skeletal system"	"Anatomical cluster consisting of the skeletal elements and articular elements that are part of an individual subdivision of the organism."	"0000075"
"urn:miriam:uberon:0000076"	"http://purl.obolibrary.org/obo/UBERON_0000076"	"external ectoderm"	"The surface (external) layer of ectoderm which begins to proliferate shortly after separation from the neuroectoderm."	"0000076"
"urn:miriam:uberon:0000077"	"http://purl.obolibrary.org/obo/UBERON_0000077"	"mixed endoderm/mesoderm-derived structure"	"An anatomical structure that develops from the endoderm and the mesoderm."	"0000077"
"urn:miriam:uberon:0000078"	"http://purl.obolibrary.org/obo/UBERON_0000078"	"mixed ectoderm/mesoderm/endoderm-derived structure"	"An anatomical structure that develops from the ectoderm, mesoderm and endoderm."	"0000078"
"urn:miriam:uberon:0000079"	"http://purl.obolibrary.org/obo/UBERON_0000079"	"male reproductive system"	"The organs associated with producing offspring in the gender that produces spermatozoa."	"0000079"
"urn:miriam:uberon:0000080"	"http://purl.obolibrary.org/obo/UBERON_0000080"	"mesonephros"	"The second stage of the kidney. It serves as the main excretory organ of aquatic vertebrates and as a temporary embryonic kidney in higher vertebrates. It is composed of the mesonephric duct (also called the Wolffian duct), mesonephric tubules, and associated capillary tufts. A single tubule and its associated capillary tuft is called a mesonephric excretory unit; these units are similar in structure and function to nephrons of the adult kidney. The mesonephros is derived from intermediate mesoderm in the vertebrate embryo."	"0000080"
"urn:miriam:uberon:0000081"	"http://purl.obolibrary.org/obo/UBERON_0000081"	"metanephros"	"In mammals, the metanephros is the excretory organ of the fetus, which develops into the mature kidney and is formed from the rear portion of the nephrogenic cord. The metanephros is an endocrine and metabolic organ that filters the blood and excretes the end products of body metabolism in the form of urine[GO]"	"0000081"
"urn:miriam:uberon:0000082"	"http://purl.obolibrary.org/obo/UBERON_0000082"	"adult mammalian kidney"	"A kidney at the most advanced stage of development in a mammal."	"0000082"
"urn:miriam:uberon:0000083"	"http://purl.obolibrary.org/obo/UBERON_0000083"	"mesonephric tubule"	"A mesonephric tubule is an epithelial tube that is part of the mesonephros[GO]. Genital ridge that is next to the mesonephros[WP]."	"0000083"
"urn:miriam:uberon:0000084"	"http://purl.obolibrary.org/obo/UBERON_0000084"	"ureteric bud"	"An epithelial swelling on the Wolffian duct that elongates to invade the adjacent metanephric mesenchyme[MP]"	"0000084"
"urn:miriam:uberon:0000085"	"http://purl.obolibrary.org/obo/UBERON_0000085"	"morula"	"A spherical embryonic mass of blastomeres formed before the blastula and resulting from cleavage of the fertilized ovum."	"0000085"
"urn:miriam:uberon:0000086"	"http://purl.obolibrary.org/obo/UBERON_0000086"	"zona pellucida"	"A glycoprotein membrane surrounding the plasma membrane of an oocyte. It is a vital constitutive part of the latter, external but not extraneous to it. The zona pellucida first appears in multilaminar primary oocytes."	"0000086"
"urn:miriam:uberon:0000087"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"inner cell mass"	"A mass of cells that develop into the body of the embryo and some extraembryonic tissues"	"0000087"
"urn:miriam:uberon:0000088"	"http://purl.obolibrary.org/obo/UBERON_0000088"	"trophoblast"	"the mesectodermal cell layer arising from the trophectoderm that erodes the uterine mucosa and contributes to the formation of the placenta"	"0000088"
"urn:miriam:uberon:0000089"	"http://purl.obolibrary.org/obo/UBERON_0000089"	"hypoblast (generic)"	"."	"0000089"
"urn:miriam:uberon:0000090"	"http://purl.obolibrary.org/obo/UBERON_0000090"	"blastocele"	"fluid-filled central region of a blastocyst."	"0000090"
"urn:miriam:uberon:0000091"	"http://purl.obolibrary.org/obo/UBERON_0000091"	"bilaminar disc"	"A flattened, almost circular bilaminar plate of cells formed when the inner cell mass (aka embryoblast) forms two epithelial layers, each of a distinct lineage, separated by an extracellular basement membrane: the external (dorsal) layer is called the epiblast and the internal (ventral) layer is called the hypoblast (aka primitive endoderm); together, they compose the bilaminar embryonic disc."	"0000091"
"urn:miriam:uberon:0000092"	"http://purl.obolibrary.org/obo/UBERON_0000092"	"post-embryonic stage"	"stage succeeding embryo, including mature structure"	"0000092"
"urn:miriam:uberon:0000093"	"http://purl.obolibrary.org/obo/UBERON_0000093"	"sulcus"	"A depression or fissure in the surface of an organ."	"0000093"
"urn:miriam:uberon:0000094"	"http://purl.obolibrary.org/obo/UBERON_0000094"	"membrane organ"	"Nonparenchymatous organ that primarily consists of dense connective tissue organized into a sheet which interconnects two or more organs, separates two or more body spaces from one another, or surrounds an organ or body part. Examples: interosseous membrane of forearm, obturator membrane, tympanic membrane, fibrous pericardium, fascia lata, dura mater. [FMA]"	"0000094"
"urn:miriam:uberon:0000095"	"http://purl.obolibrary.org/obo/UBERON_0000095"	"cardiac neural crest"	"portion of neural crest that develops from the dorsal neural tube. It overlaps the vagal neural crest and migrates to populate the pharyngeal arches 3, 4 and 6 (producing structures in the head) and to the heart, forming connective tissue that separates the great vessels of the heart. [Wikipedia]"	"0000095"
"urn:miriam:uberon:0000100"	"http://purl.obolibrary.org/obo/UBERON_0000100"	"blastopore"	"the orifice of invagination of the endomesodermal cells during the embryonic stages of an organism."	"0000100"
"urn:miriam:uberon:0000101"	"http://purl.obolibrary.org/obo/UBERON_0000101"	"lobe of lung"	"A lung lobe is one of the rounded projections that compose the lung[GO]."	"0000101"
"urn:miriam:uberon:0000102"	"http://purl.obolibrary.org/obo/UBERON_0000102"	"lung vasculature"	"The lung vasculature is composed of the tubule structures that carry blood or lymph in the lungs[GO]."	"0000102"
"urn:miriam:uberon:0000103"	"http://purl.obolibrary.org/obo/UBERON_0000103"	"obsolete life cycle stage boundary"	"Instant starting or ending a life cycle stage. These can be arbitrary/fiat."	"0000103"
"urn:miriam:uberon:0000104"	"http://purl.obolibrary.org/obo/UBERON_0000104"	"life cycle"	"An entire span of an organism's life, commencing with the zygote stage and ending in the death of the organism."	"0000104"
"urn:miriam:uberon:0000105"	"http://purl.obolibrary.org/obo/UBERON_0000105"	"life cycle stage"	"A spatiotemporal region encompassing some part of the life cycle of an organism."	"0000105"
"urn:miriam:uberon:0000106"	"http://purl.obolibrary.org/obo/UBERON_0000106"	"zygote stage"	"A stage at which the organism is a single cell produced by means of sexual reproduction."	"0000106"
"urn:miriam:uberon:0000107"	"http://purl.obolibrary.org/obo/UBERON_0000107"	"cleavage stage"	"The first few specialized divisions of an activated animal egg; Stage consisting of division of cells in the early embryo. The zygotes of many species undergo rapid cell cycles with no significant growth, producing a cluster of cells the same size as the original zygote. The different cells derived from cleavage are called blastomeres and form a compact mass called the morula. Cleavage ends with the formation of the blastula."	"0000107"
"urn:miriam:uberon:0000108"	"http://purl.obolibrary.org/obo/UBERON_0000108"	"blastula stage"	"An early stage of embryonic development in animals. It is produced by cleavage of a fertilized ovum and consists of a spherical layer of around 128 cells surrounding a central fluid-filled cavity called the blastocoel. The blastula follows the morula and precedes the gastrula in the developmental sequence."	"0000108"
"urn:miriam:uberon:0000109"	"http://purl.obolibrary.org/obo/UBERON_0000109"	"gastrula stage"	"A stage defined by complex and coordinated series of cellular movements that occurs at the end of cleavage during embryonic development of most animals. The details of gastrulation vary from species to species, but usually result in the formation of the three primary germ layers, ectoderm, mesoderm and endoderm."	"0000109"
"urn:miriam:uberon:0000110"	"http://purl.obolibrary.org/obo/UBERON_0000110"	"neurula stage"	"Staged defined by the formation of a tube from the flat layer of ectodermal cells known as the neural plate. This will give rise to the central nervous system."	"0000110"
"urn:miriam:uberon:0000111"	"http://purl.obolibrary.org/obo/UBERON_0000111"	"organogenesis stage"	"A stage at which the ectoderm, endoderm, and mesoderm develop into the internal organs of the organism."	"0000111"
"urn:miriam:uberon:0000112"	"http://purl.obolibrary.org/obo/UBERON_0000112"	"sexually immature stage"		"0000112"
"urn:miriam:uberon:0000113"	"http://purl.obolibrary.org/obo/UBERON_0000113"	"post-juvenile adult stage"	"The stage of being a sexually mature adult animal."	"0000113"
"urn:miriam:uberon:0000114"	"http://purl.obolibrary.org/obo/UBERON_0000114"	"lung connective tissue"	"the connective tissue located between the respiratory (airway and alveolar) epithelium, the capillary endothelium and pleural mesothelium; it contains basement membrane composed of collagen, elastin, proteoglycans, and fibronectin"	"0000114"
"urn:miriam:uberon:0000115"	"http://purl.obolibrary.org/obo/UBERON_0000115"	"lung epithelium"	"The epithelial layer of the lung."	"0000115"
"urn:miriam:uberon:0000116"	"http://purl.obolibrary.org/obo/UBERON_0000116"	"lung saccule"	"Primitive gas exchange portion of the lung composed of type I and type II cells[GO]."	"0000116"
"urn:miriam:uberon:0000117"	"http://purl.obolibrary.org/obo/UBERON_0000117"	"respiratory tube"	"A tube in the respiratory system. Examples: bronchus, bronchiole, trachea."	"0000117"
"urn:miriam:uberon:0000118"	"http://purl.obolibrary.org/obo/UBERON_0000118"	"lung bud"	"Structure derived from foregut that becomes a lung[GO]."	"0000118"
"urn:miriam:uberon:0000119"	"http://purl.obolibrary.org/obo/UBERON_0000119"	"cell layer"	"Portion of tissue, that consists of single layer of cells connected to each other by cell junctions. Examples: layer of glial cells; epithelium."	"0000119"
"urn:miriam:uberon:0000120"	"http://purl.obolibrary.org/obo/UBERON_0000120"	"blood brain barrier"	"Cell layer consisting of lining cells that separates the central nervous system and the bloodstream. The BBB may consist of endothelial cells or glial cells. An endothelial barrier may have arisen independently several times during evolution. In bichir and lungfish the barrier is formed by brain endothelial cells, while in sturgeon it is formed by a complex perivascular glial sheath, but with no detectable tight junctions."	"0000120"
"urn:miriam:uberon:0000121"	"http://purl.obolibrary.org/obo/UBERON_0000121"	"perineurium"	"A layer of thin, concentrically arranged cells with interspersed collagen that lies within the epineurium. (Nolte, J., The Human Brain 3rd edition)"	"0000121"
"urn:miriam:uberon:0000122"	"http://purl.obolibrary.org/obo/UBERON_0000122"	"neuron projection bundle"	"A fasciculated bundle of neuron projections (GO:0043005), largely or completely lacking synapses."	"0000122"
"urn:miriam:uberon:0000123"	"http://purl.obolibrary.org/obo/UBERON_0000123"	"endoneurium"	"The loose connective tissue within the perineurium that continues into nerve fascicles and surrounds individual fibers. (Nolte, J. The Human Brain 3rd edition)"	"0000123"
"urn:miriam:uberon:0000124"	"http://purl.obolibrary.org/obo/UBERON_0000124"	"epineurium"	"A loose connective tissue sheath surrounding each peripheral nerve. Composed mainly of colagen and fibroblasts, it forms a substantial covering over nerve trunks, then thins to an incomplete layer around smaller branches near their terminations. The epineurium is continuous centrally with the dura. Peripherally, it usually ends near the termination of a nerve fiber, but it may continue as the capsule of Meissner corpuscles and a few other encapsulated endings. Nolte, J. The Human Brain 3rd edition"	"0000124"
"urn:miriam:uberon:0000125"	"http://purl.obolibrary.org/obo/UBERON_0000125"	"neural nucleus"	"A spatially aggregated collection of nerve cell bodies in the CNS, consisting of one or more subpopulations that share cell type, chemical phenotype, and connections, and including nearby cells that share the same cell type, chemical phenotype, and connections. (CUMBO)"	"0000125"
"urn:miriam:uberon:0000126"	"http://purl.obolibrary.org/obo/UBERON_0000126"	"cranial nerve nucleus"	"Nucleus that receives projections from or contains neurons that send projections through one of the cranial nerves"	"0000126"
"urn:miriam:uberon:0000127"	"http://purl.obolibrary.org/obo/UBERON_0000127"	"facial nucleus"	"the group of motor neurons residing in the pons that innervate the muscles of facial expression"	"0000127"
"urn:miriam:uberon:0000128"	"http://purl.obolibrary.org/obo/UBERON_0000128"	"olivary body"	"prominent oval structure in the medulla oblongata, present in pairs, the lower portion of the brainstem. They contain the olivary nuclei"	"0000128"
"urn:miriam:uberon:0000130"	"http://purl.obolibrary.org/obo/UBERON_0000130"	"transverse foramen"	"Foramen that pierces the transverse processes of the seven cervical vertebrae. In the upper six vertebrae, the foramen gives passage to the vertebral artery, vertebral vein, and a plexus of sympathetic nerves. The seventh foramen lacks the artery, but contains the vein and sympathetic nerves."	"0000130"
"urn:miriam:uberon:0000144"	"http://purl.obolibrary.org/obo/UBERON_0000144"	"trochlea of humerus"	"The medial portion of the articular surface of the humerus is named the trochlea, and presents a deep depression between two well-marked borders; it is convex from before backward, concave from side to side, and occupies the anterior, lower, and posterior parts of the extremity. It is directly inferior to the most prominent anterior humeral fossia, the Coronoid fossia. It articulates with the ulna."	"0000144"
"urn:miriam:uberon:0000151"	"http://purl.obolibrary.org/obo/UBERON_0000151"	"pectoral fin"	"Paired fin that is located in the thoracic region of the body."	"0000151"
